title,price,author
말은 운명을 데려온다,"19,800",이하영
주린이를 위한 추세추종 투자 따라잡기,"24,000",올투
김미경의 플러스 휴먼,"19,500",김미경
지적 대화를 위한 AI 언어 수업,"20,000",강수진
AI 생존 지도,"20,000",이석현
단어의 쓸모,"24,000",차민진
꾸준함을 기르는 일,"18,000",수풀림
조금 느려도 나는 부자가 되는 중입니다,"18,500",박소연
감정 수업,,
회복하는 뇌,"22,000",헤더 샌디슨
당신의 고객은 왜 야구장에 있을까?,"19,000",정은우
생각하라 그리고 부자가 되어라 (한정판 스페셜 에디션),"18,800",나폴레온 힐
생각만 바꿔도 인생이 바뀐다,"16,800",김태환
모두의 노션 AI,"16,800",임대균
하마터면 나로 살지 못할 뻔했다,"18,800",황양밍
설득의 언어학,"19,800",상드린 쥐페레
생각이 인생을 바꾸는 게 아니라 행동이 인생을 바꾼다,"18,800",카레나 킬코인
시작의 자격,"19,000",김지은
인간은 무엇으로 다시 일어서는가,"18,000",김회주
가슴 혁명,"18,000",홍호기
나를 이기는 심리학,"22,000",스티브 매그니스
쪼개기 법칙,"18,800",허규형
시니어 힐링 필사 노트 : 마음글벗 - 불경 필사,"16,000",베이직콘텐츠랩
"사실은, 단 한 순간도 버려지지 않았어","16,000",최예인
사람은 어떻게 생각하고 배우고 기억하는가,"20,000",제레드 쿠니 호바스
번뇌를 종료합니다,"18,000",필로소피랩
적을 만들지 않는 대화법 (18주년 특별기념판),"19,000",샘 혼
오리지널 코드,"22,000",오은환
직원과 나누기 곤란한 대화 74,"22,000",폴 팔코네
어른의 진짜 공부,"17,500",정민서
크리에이터 김연지의 돈 되는 AI 콘텐츠 설계,"20,000",김연지
뇌는 왜 나를 딴짓하게 만드는가,"24,900",젤레나 몬미니
커리어 인큐베이터,"18,000",김미루
"나를 바꾸는 작은 기적, 감사","20,000",강민정
대화가 서툰 어른을 위한 말하기 수업,"18,800",보이스무드
아무리 화가 나도 바보와는 싸우지 마라,"18,000",다무라 고타로
MAGIC 프롬프트 프레임,"24,000",김대중
파인드 유어 와이,"22,000",사이먼 시넥
달리기의 뇌과학,"19,000",김대영
예술이라 부르지 마!,"17,000",오스틴 클레온
말투만 바꿨을 뿐인데 (10만 부 기념 개정판),"19,800",김민성
몸이 마음을 만든다,"19,000",윤대현
사주 보는 변호사,"22,000",안종오
나에게 가장 엄격한 사람,"22,000",케이티 모턴
누구나 혼자 서는 순간이 온다,"18,000",김나이
1% 리더의 언어 공식,"19,800",윤상명
딜리트,"20,800",북토크(이찬양)
출근길의 주문,"18,000",이다혜
체력을 바꿔야 재력이 바뀐다,"21,000",정주영
오늘도 가정법원에서 인생을 배웁니다,"18,000",이명숙
